vfdDirAdEc,vfdDiH+AdEc
sadizvaYjoH parasya liwi,sadeH+parasya+liwi
nivyaBiByo'qvyAvaye vA Candasi,nivyaBiByaH+aqvyAvaye+vA+Candasi
razAByAM no RaH samAnapade,razAByAm+naH+RaH+samAnapade
awkupvANnumvyavAye'pi,awkupvANnumvyavAye+api
pUrvapadAt saMjYAyAmagaH,pUrvapadAt+saMjYAyAm+agaH
vanaM puragAmiSrakAsiDrakASArikAkowarA'greByaH,vanam+puragAmiSrakAsiDrakASArikAkowarA'greByaH
pranirantaHSarekzuplakzAmrakArzyaKadirapiyUkzAByo'saMjYAyAmapi,pranirantaHSarekzuplakzAmrakArzyaKadirapiyUkzAByaH+asaMjYAyAm+api
viBAzOzaDivanaspatiByaH,viBAzA+ozaDivanaspatiByaH
ahno'dantAt,ahnaH+adantAt
vAhanamAhitAt,vAhanam+AhitAt
pAnaM deSe,pAnam+deSe
upasargAdasamAse'pi RopadeSasya,upasargAt+asamAse+api+RopadeSasya
nergadanadapatapadaGumAsyatihantiyAtivAtidrAtipsAtivapativahatiSAmyaticinotidegDizu ca,neH+gadanadapatapadaGumAsyatihantiyAtivAtidrAtipsAtivapativahatiSAmyaticinotidegDizu+ca
Seze viBAzA'kaKAdAvazAnta upadeSe,Seze+viBAzA+akaKAdO+azAnte+upadeSe
hanteratpUrvasya,hanteH+atpUrvasya
vamorvA,vamoH+vA
antaradeSe,antaH+adeSe
ayanaM ca,ayanam+ca
CandasyfdavagrahAt,Candasi+fdavagrahAt
naSca DAtusToruzuByaH,naH+ca+DAtusToruzuByaH
upasargAd bahulam,upasargAt+anotparaH
kftyacaH,kfti+acaH
RerviBAzA,ReH+viBAzA
halaSca ijupaDAt,halaH+ca+ijupaDAt
zAt padAntAt,zAt+padAntAt
padavyavAye'pi,padavyavAye+api
na padAntAwworanAm,na+padAntAt+woH+anAm
yaro'nunAsike'nunAsiko vA,yaraH+anunAsike+anunAsikaH+vA
aco rahAByAM dve,acaH+rahAByAm+dve
nAdinyAkroSe putrasya,na+AdinI+AkroSe+putrasya
Saro'ci,SaraH+aci
dIrGAdAcAryARAm,dIrGAt+AcAryARAm
JalAM jaS JaSi,JalAm+jaS+JaSi
aByAse carcca,aByAse+car+ca
vA'vasAne,vA+avasAne
aRo'pragfhyasyAnunAsikaH,aRaH+apragfhyasya+anunAsikaH
torli,toH+li
Jayo ho'nyatarasyAm,JayaH+haH+anyatarasyAm
SaSCo'wi,SaH+CaH+awi
halo yamAM yami lopaH,halaH+yamAm+yami+lopaH
Jaro Jari savarRe,JaraH+Jari+savarRe
udAttAdanudAttasya svaritaH,udAttAt+anudAttasya+svaritaH
nodAttasvaritodayamagArgyakASyapagAlavAnAm,naH+udAttasvaritodayam+agArgyakASyapagAlavAnAm
